iter	Passed	Remaining
0	58	57960
1	62	30979
2	65	21770
3	69	17260
4	71	14245
5	76	12642
6	78	11173
7	80	10033
8	85	9378
9	87	8641
10	89	8048
11	91	7533
12	94	7186
13	100	7059
14	102	6718
15	108	6662
16	110	6379
17	112	6126
18	114	5899
19	118	5820
20	121	5665
21	123	5492
22	125	5328
23	129	5253
24	131	5121
25	134	5039
26	136	4919
27	140	4893
28	143	4801
29	145	4701
30	147	4604
31	149	4510
32	153	4486
33	155	4403
34	156	4326
35	158	4251
36	160	4179
37	162	4116
38	165	4069
39	167	4009
40	169	3968
41	171	3923
42	174	3881
43	176	3837
44	180	3839
45	183	3801
46	187	3795
47	190	3774
48	194	3775
49	197	3756
50	200	3723
51	202	3691
52	207	3708
53	210	3694
54	214	3681
55	216	3655
56	219	3639
57	224	3642
58	234	3739
59	237	3718
60	239	3689
61	242	3662
62	245	3651
63	247	3620
64	249	3587
65	254	3598
66	256	3569
67	258	3542
68	260	3514
69	262	3489
70	267	3499
71	269	3472
72	271	3446
73	273	3419
74	275	3392
75	279	3403
76	283	3404
77	287	3399
78	290	3384
79	293	3374
80	296	3364
81	299	3353
82	303	3350
83	305	3332
84	308	3324
85	310	3303
86	312	3283
87	317	3293
88	320	3280
89	322	3264
90	324	3246
91	331	3269
92	333	3252
93	335	3236
94	338	3220
95	342	3221
96	344	3208
97	348	3203
98	350	3194
99	353	3179
100	356	3171
101	360	3171
102	362	3154
103	364	3138
104	367	3135
105	370	3124
106	372	3112
107	375	3098
108	377	3084
109	379	3074
110	382	3060
111	384	3048
112	387	3037
113	389	3027
114	393	3031
115	395	3016
116	398	3005
117	400	2992
118	402	2977
119	406	2979
120	408	2966
121	410	2953
122	413	2946
123	415	2934
124	419	2934
125	421	2921
126	423	2908
127	425	2901
128	427	2889
129	432	2896
130	435	2889
131	438	2886
132	441	2876
133	443	2863
134	448	2876
135	450	2864
136	453	2853
137	455	2844
138	457	2834
139	459	2825
140	462	2814
141	463	2802
142	465	2788
143	467	2778
144	469	2770
145	472	2761
146	474	2752
147	476	2744
148	481	2748
149	483	2740
150	485	2730
151	487	2721
152	489	2711
153	492	2703
154	494	2698
155	497	2690
156	499	2680
157	501	2674
158	506	2676
159	508	2667
160	510	2659
161	512	2650
162	515	2645
163	524	2675
164	527	2667
165	529	2660
166	538	2684
167	540	2676
168	543	2674
169	546	2670
170	553	2685
171	557	2681
172	571	2730
173	579	2749
174	588	2774
175	592	2775
176	595	2770
177	604	2790
178	607	2784
179	612	2790
180	618	2796
181	620	2789
182	624	2788
183	633	2809
184	636	2805
185	646	2829
186	649	2823
187	653	2822
188	657	2820
189	665	2837
190	667	2828
191	673	2832
192	677	2831
193	679	2824
194	682	2819
195	686	2815
196	690	2814
197	693	2810
198	697	2805
199	699	2798
200	704	2800
201	708	2797
202	710	2791
203	716	2794
204	721	2797
205	726	2799
206	729	2793
207	741	2821
208	744	2816
209	754	2838
210	757	2833
211	765	2845
212	768	2839
213	771	2832
214	776	2836
215	779	2828
216	782	2822
217	790	2836
218	793	2830
219	798	2830
220	806	2843
221	810	2840
222	821	2861
223	823	2852
224	825	2843
225	828	2837
226	831	2830
227	833	2821
228	842	2836
229	846	2833
230	849	2827
231	852	2820
232	861	2834
233	877	2871
234	879	2864
235	883	2858
236	889	2864
237	897	2872
238	899	2864
239	902	2856
240	910	2868
241	914	2864
242	928	2890
243	931	2885
244	934	2878
245	947	2905
246	951	2900
247	957	2903
248	961	2900
249	966	2900
250	970	2896
251	973	2889
252	975	2879
253	979	2876
254	982	2871
255	986	2867
256	990	2862
257	993	2855
258	998	2855
259	1001	2850
260	1003	2842
261	1006	2836
262	1009	2828
263	1014	2828
264	1017	2822
265	1020	2814
266	1022	2806
267	1024	2798
268	1029	2796
269	1031	2788
270	1034	2782
271	1036	2773
272	1039	2769
273	1046	2771
274	1049	2766
275	1053	2763
276	1056	2756
277	1060	2755
278	1063	2749
279	1066	2742
280	1068	2734
281	1072	2730
282	1074	2722
283	1079	2721
284	1081	2713
285	1083	2705
286	1086	2698
287	1088	2690
288	1093	2691
289	1096	2684
290	1098	2677
291	1100	2669
292	1106	2670
293	1109	2664
294	1111	2656
295	1116	2654
296	1119	2649
297	1122	2643
298	1124	2635
299	1126	2628
300	1131	2628
301	1134	2621
302	1136	2615
303	1141	2612
304	1143	2606
305	1147	2602
306	1150	2597
307	1158	2603
308	1161	2596
309	1163	2589
310	1165	2581
311	1169	2578
312	1171	2572
313	1173	2564
314	1175	2557
315	1177	2549
316	1180	2543
317	1183	2538
318	1185	2530
319	1187	2523
320	1189	2516
321	1194	2514
322	1196	2507
323	1199	2503
324	1202	2496
325	1204	2489
326	1206	2483
327	1209	2477
328	1211	2470
329	1215	2468
330	1218	2462
331	1220	2455
332	1222	2449
333	1225	2442
334	1229	2440
335	1232	2434
336	1234	2428
337	1236	2421
338	1238	2415
339	1242	2410
340	1243	2403
341	1246	2399
342	1249	2393
343	1252	2389
344	1256	2385
345	1258	2379
346	1260	2372
347	1263	2367
348	1268	2366
349	1271	2362
350	1275	2358
351	1278	2354
352	1281	2348
353	1284	2344
